https://www.bitget.com/api-doc/contract/market/Get-History-Candle-Data
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
0,0,bitgetBTCUSDT,65463.4,65499.2,65423.3,65427.6,44581780.6783,681.049,0
0,0,bitgetBTCUSDT,65370.5,65502.8,65349.4,65463.4,11988708.3435,183.257,0
0,0,bitgetBTCUSDT,65418.4,65500,65347.9,65370.5,14691721.4859,224.618,0
0,0,bitgetBTCUSDT,65428,65533.3,65418.4,65418.4,17208908.2541,262.868,0
0,0,bitgetBTCUSDT,65404,65434.9,65289.7,65428,90130280.2937,1378.909,0
0,0,bitgetBTCUSDT,65399.5,65492.6,65363.7,65404,20120925.0166,307.583,0
0,0,bitgetBTCUSDT,65456,65512.7,65379.3,65399.5,51269781.3271,783.572,0
0,0,bitgetBTCUSDT,65556.1,65577.4,65429.3,65456,22063174.2303,336.993,0
0,0,bitgetBTCUSDT,65570,65689.2,65494.9,65556.1,50254099.2915,766.209,0
0,0,bitgetBTCUSDT,65358.8,65641.1,65308.4,65570,243596312.757,3720.374,0
0,0,bitgetBTCUSDT,65464,65473.4,65346,65358.8,61913738.1612,946.806,0
0,0,bitgetBTCUSDT,65429.4,65565.5,65358.7,65464,72492029.6061,1107.558,0
0,0,bitgetBTCUSDT,65283.2,65533.5,65227.6,65429.4,134651280.709,2060.354,0
0,0,bitgetBTCUSDT,65287.7,65417.5,65254.3,65283.2,18736625.8297,286.721,0
0,0,bitgetBTCUSDT,65199.3,65360,65127.7,65287.7,22150390.5557,339.505,0
0,0,bitgetBTCUSDT,65407.2,65445.8,65183.6,65199.3,40515946.8052,620.391,0
0,0,bitgetBTCUSDT,65130.8,65422,65130.8,65407.2,40860185.8558,625.863,0
0,0,bitgetBTCUSDT,64987.6,65222.6,64959.8,65130.8,116925044.554,1796.118,0
0,0,bitgetBTCUSDT,64930,65008.4,64767,64987.6,732119502.5166,11283.529,0
0,0,bitgetBTCUSDT,65127.2,65160,64888,64930,448651648.908,6898.881,0
0,0,bitgetBTCUSDT,65305.1,65473.3,65120.7,65127.2,269843146.93,4130.919,0
0,0,bitgetBTCUSDT,65098.5,65423,65098.5,65305.1,512955007.8788,7858.035,0
0,0,bitgetBTCUSDT,64951.7,65193.7,64938.2,65098.5,761273347.589,11699.178,0
0,0,bitgetBTCUSDT,64852.7,64970.8,64844.6,64951.7,76366129.5581,1175.953,0
0,0,bitgetBTCUSDT,65010.1,65026.9,64830,64852.7,467193151.1693,7200.046,0
0,0,bitgetBTCUSDT,65127.7,65162.8,64958.8,65010.1,417190141.7898,6412.484,0
0,0,bitgetBTCUSDT,65055,65178.5,65019.5,65127.7,381556342.1164,5862.846,0
0,0,bitgetBTCUSDT,65117.8,65135.6,65034.6,65055,316253559.0058,4859.101,0
0,0,bitgetBTCUSDT,65102.7,65203.8,65101.8,65117.8,322019733.6794,4942.803,0
0,0,bitgetBTCUSDT,65238.6,65240,65073.2,65102.7,199543159.3072,3064.173,0
0,0,bitgetBTCUSDT,65232.7,65260,65170,65238.6,178991314.7841,2744.889,0
0,0,bitgetBTCUSDT,65099.8,65260,65062.8,65232.7,25185741.7919,386.456,0
0,0,bitgetBTCUSDT,65084.6,65203.3,65074.6,65099.8,28042494.2133,430.489,0
0,0,bitgetBTCUSDT,65177.6,65220,65005,65084.6,43892972.1875,674.392,0
0,0,bitgetBTCUSDT,65055.3,65277.9,65049.7,65177.6,81158322.1844,1245.052,0
0,0,bitgetBTCUSDT,64952.9,65111.1,64876.1,65055.3,50275920.7916,773.909,0
0,0,bitgetBTCUSDT,64991.1,65192.2,64907.8,64952.9,158888927.022,2442.483,0
0,0,bitgetBTCUSDT,64900,64996.9,64750.6,64991.1,47430240.6124,731.196,0
0,0,bitgetBTCUSDT,64566.3,65027.3,64566.3,64900,180067544.2762,2776.893,0
0,0,bitgetBTCUSDT,64444,64620,64305.4,64566.3,46839160.5683,726.958,0
0,0,bitgetBTCUSDT,64399.6,64559.4,64373.9,64444,63167559.3223,979.592,0
0,0,bitgetBTCUSDT,64379.5,64666.7,64152.6,64399.6,217797054.6271,3380.317,0
0,0,bitgetBTCUSDT,66225.1,66231.8,66143.5,66159,43644132.3749,659.497,0
0,0,bitgetBTCUSDT,66216.6,66249.7,66201.3,66225.1,11976521.4237,180.848,0
0,0,bitgetBTCUSDT,66233,66259.9,66200,66216.6,19504211.6799,294.52,0
0,0,bitgetBTCUSDT,66292.9,66341.9,66213.2,66233,71136718.346,1073.148,0
0,0,bitgetBTCUSDT,66258.1,66296.6,66216.9,66292.9,113804827.7203,1717.321,0
0,0,bitgetBTCUSDT,66300,66345.1,66207.3,66258.1,56538671.7329,852.92,0
0,0,bitgetBTCUSDT,66327.2,66460.2,66283,66300,135834574.0066,2046.341,0
0,0,bitgetBTCUSDT,66190,66333.1,66181.1,66327.2,23053841.3405,347.921,0
0,0,bitgetBTCUSDT,66202.6,66230,66134.9,66190,27185077.4279,410.82,0
0,0,bitgetBTCUSDT,66182,66211.7,66148.4,66202.6,43554631.8632,658.13,0
0,0,bitgetBTCUSDT,66201.8,66245.4,66155.3,66182,28074202.5626,424.119,0
0,0,bitgetBTCUSDT,66271,66277.1,66196.3,66201.8,14382915.823,217.202,0
0,0,bitgetBTCUSDT,66234.6,66277.3,66199.8,66271,27436750.6545,414.324,0
0,0,bitgetBTCUSDT,66305,66315.2,66231.7,66234.6,41355370.9811,623.833,0
0,0,bitgetBTCUSDT,66247.3,66305.2,66247.3,66305,105941626.0312,1598.277,0
0,0,bitgetBTCUSDT,66310.1,66321.6,66237.3,66247.3,22632072.6119,341.499,0
0,0,bitgetBTCUSDT,66198.5,66329.4,66198.4,66310.1,85904184.7438,1296.38,0
0,0,bitgetBTCUSDT,66260.3,66287.5,66188.6,66198.5,40906110.7783,617.663,0
0,0,bitgetBTCUSDT,66301.2,66331.1,66260.3,66260.3,45017872.8825,679.155,0
0,0,bitgetBTCUSDT,66288,66320,66266.9,66301.2,16904038.3118,254.982,0
